codigo,titulo,autor,origen,comision,tema,iniciativa,link
121/16,POR EL CUAL SE ESTABLECE LA GRATUIDAD PARA LA ADMISION DE ESTUDIANTES DE ESTRATOS 12 Y 3 EN LAS INSTITUCIONES DE EDUCACION SUPERIOR PUBLICAS Y SE DICTAN OTRAS DISPOSICIONES,SILVIO CARRASQUILLA TORRES,CÁMARA DE REPRESENTANTES,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/121
122/16,POR EL CUAL SE ESTABLECE LA NATURALEZA Y REGIMEN JURIDICO DE LA FUNDACION UNIVERSITARIA INTERNACIONAL DEL TROPICO AMERICANO,JOHN EDUARDO MOLINA FIGEREDO,CÁMARA DE REPRESENTANTES,SEXTA,AGROPECUARIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/122
123/16,POR MEDIO DEL CUAL SE INCLUYE LAS TECNICAS DE LA REPRODUCCION HUMANA ASISTIDA PARA EL TRATAMIENTO DE LA INFERTILIDAD EN PLAN DE BENFICIOS DEL SISTEMA DE SEGURIDAD SOCIAL EN SALUD SE ESTABLECEN LOS LINEAMIENTOS PARA LA POLITICA PUBLICA EN DICHOS TRATAMIENTOS Y SE DICTAN OTRAS DISPOSICIONES,WILMER RAMIRO CARRILLO MENDOZA|JAIRO ENRIQUE CASTIBLANCO PARRA|CARLOS ARTURO CORREA MOJICA|MARTA CECILIA CURI OSORIO|ALFREDO RAFAEL DELUQUE ZULETA|EDUARDO AGATON DIAZ|GRANADOS ABADIA|ELBERT DIAZ LOZANO|NICOLAS DANIEL GUERRERO MONTAÑO|JUAN FELIPE LEMOS URIBE|LUZ ADRIANA MORENO MARMOLEJO|CRISTIAN JOSE MORENO VILLAMIZAR|ANA MARIA RINCON HERRERA|CRISTOBAL RODRGUEZ HERNANDEZ|JORGE ELIECER TAMAYO MARULANDA|MARTHA PATRICIA VILLALBA HODWALKER Y OTRAS FIRMAS|JIMMY CHAMORRO CRUZ|ARMANDO BENEDETTI,CÁMARA DE REPRESENTANTES,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/123
124/16,POR LA CUAL SE DISPONE PREDIOS RURALES DE PROPIEDAD DE LA NACION Y TERRENOS BALDIOS AFECTADOS POR LICENCIAS DE EXPLOTACION MINERA Y PETROLERA A POBLADORES RULARES QUE TENGAN DERECHOS DE DOMINIO POSECION O TENDENCIA DE LA TIERRA Y SE DICTAN OTRAS DISPOSICIONES,MIGUEL ANGÉL BARRETO CASTILLO|ORLANDO ALFONSO CLAVIJO CLAVIJO|ALFREDO APE CUELLO BAUTE|NICOLAS ALBEIRO ECHEVERRY ALVARAN|JUAN CARLOS GARCÍA GÓMEZ|ORLANDO ANIBAL GUERRA DE|PEDRITO TOMAS PEREIRA CABALLERO|otras firmas -,CÁMARA DE REPRESENTANTES,QUINTA,ADMINISTRATIVO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/124
125/16,MEDIANTE LA CUAL SE MODIFICA LA LEY 599 DE 2000 Y SE DICTAN OTRAS DISPOSICIONES PARA PROTEGER LOS MECANISMOS DE PARTICIPACION DEMOCRATICA,EDWAR D RODRIGUEZ|TATIANA CABELLO|ALVARO HERNAN PRADA ARTUNDUAGA|PIERRE EUGENIO GARCIA|ESPERANZA PINZON|CIRO ALEJANDRO RAMIREZ|CARLOS ALBERTO CUERO VALENCIA|ALFREDO RAMOS MAYA,CÁMARA DE REPRESENTANTES,PRIMERA,DELITOS ELECTORALES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/125
126/16,POR MEDIO DE LA CUAL SE ESTABLECEN MEDIDAS DE PROTECCION AL ADULTO MAYOR EN COLOMBIA SE MODIFICAN LAS LEYES 1251 DE 2008 1315 DE 2009 Y 599 DE 2000 SE PENALIZA EL MALTRATO INTRAFAMILIAR POR ABANDONO Y SE DICTAN OTRAS DISPOSICIONES,GUILLERMINA BRAVO MONTAÑO|CARLOS EDUARDO GUEVARA VILLABON | OSCAR HERNAN SANCHEZ,CÁMARA DE REPRESENTANTES,PRIMERA,ADULTO MAYOR,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/126
127/16,POR MEDIO DE LA CUAL SE ADOPTAN CRITERIOS DE POLITICA PUBLICA PARA LOS PROGRAMAS ESTATALES DE REDUCCION DE LA POBREZA Y POBREZA EXTREMA PROMOCION DE LA MOVILIDAD SOCIAL Y SE REGULA EL FUNCIONAMIENTO DEL PROGRAMA MAS FAMILIAS EN ACCION,CLAUDIA LOPEZ|IVAN OSPINA|JORGE PRIETO|ANTONIO NAVARRO WOLFF|ALEXANDER LOPEZ MAYA|MANUEL ENRIQUEZ|EDIDON DELGADO|ANTONIO JOSE CORREA JIMENEZ|JUAN MANUEL GALAN|DORIS VEGA|ROOSVELT RODRIGUEZ|IVAN NAME|ANGELICA LOZANO CORREA|OSCAR OSPINA|ANA PAOLA AGUDELO GARCIA|VICTOR JAVIER CORREA,SENADO DE LA REPUBLICA,SEPTIMA,SUBSIDIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/127
128/16,POR MEDIO DE LA CUAL SE OTORGA LA CATEGORIA DE DISTRITO PETROQUIMICO PORTUARIO Y TURISTICO AL MUNICIPIO DE BARRANCABERMEJA SANTANDER,JUAN MANUEL GALÁN|JORGE ENRIQUE ROBLEDO,SENADO DE LA REPUBLICA,PRIMERA,DISTRITO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/128
129/16,POR LA CUAL SE ESTABLECEN NORMAS PARA LA PROTECCION PREVENCION Y CONTROL DE LOS EFECTOS NOSIVOS QUE PARA LA SALUD TIENE LA EXPOSICION PROLONGADA Y SIN DEBIDA PROTECCION A LA RADIACION SOLAR,ANTONIO GUERRA DE LA ESPRIELLA,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/129
130/16,POR MEDIO DE LA CUAL SE REGULAN LOS DEPOSITOS JUDICIALES SE AUTORIZA SU TRASLADO SU UTILIZACION PARA LA INVERSION EN LA RED VIAL TERCIARIA E INFRAESTRUCTURA CARCELARIA,ANTONIO GUERRA DE LA ESPRIELLA,SENADO DE LA REPUBLICA,TERCERA,JURIDICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/130
131/16,POR MEDIO DE LA CUAL SE MODIFICA LA EDAD MAXIMA DE RETIRO DE LAS PERSONAS QUE DESEMPEÑAN FUNCIONES PUBLICAS DE MODO SU INCLUSION EN EL PLAN DE BENEFICIOS Y SE DICTAN OTRAS DISPOSICIONES.,MARGARITA RESTREPO|SANTIAGO VALENCIA|ALEJANDRO RAMIREZ|ESPERANZA PINZON|WILSON CORDOBA|CARLOS ALBERTO CUERO VALENCIA|FERNANDO SIERRA|EDWAR RODRIGUEZ|MARIA REGINA ZULUAGA|ALVARO HERNAN PRADA ARTUNDUAGA|RUBEN DARIO MOLANO|OSCAR DARIO PEREZ|SAMUEL HOYOS|TATIANA CABELLO|FEDERICO HOYOS|MARIA FERNANDA CABAL|HUGO GONZALEZ|CRISTOBAL RODRIGUEZ|NICOLAS GUERRERO|HERIBERTO SANABRIA|RAFAEL ROMERO |RIGOBERTO BARON|FERNANDO ARAUJO|ALVARO URIBE VELEZ|IVAN DUQUE|PAOLA HOLGUIN|ALFREDO RAMOS MAYA|CARLOS FELIPE MEJIA|NOHORA TOVAR|DANIEL CABRALES|JOSE OBDULIO GAVIRIA,CÁMARA DE REPRESENTANTES,SEPTIMA,LABORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/131
132/16,POR LA CUAL SE REGLAMENTA EL EJERCICIO DE LA EDUCACION FISICA SUS PROFESIONES AFINES Y AUXILIARES SE DICTA EL CODIGO ETICO Y DEONTOLOGICO DEL EDUCADOR FISICO Y SUS PROFESIONES AFINES Y SE ESTABLECEN OTRAS DISPOSICIONES,OSCAR MAURICIO LIZCANO ARANGO,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/132
133/16,POR LA CUAL SE MODIFICA ELCODIGO ELECTORAL Y SE DICTAN OTRAS DISPOSICIONES,ARMANDO BENEDETTI,SENADO DE LA REPUBLICA,PRIMERA,ELECTORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/133
134/16,POR MEDIO DE LA CUAL SE DICTAN DISPOSICIONES EN MATERIA SALARIAL Y PRESTACIONAL DE LOS MIEMBROS DE LAS ASAMBLEAS DEPARTAMENTALES Y SE DICTAN OTRAS DISPOSICIONES,JUAN FERNANDO CRISTO BUSTOS,SENADO DE LA REPUBLICA,SEPTIMA,LABORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/134
135/16,POR MEDIO DEL CUAL SE CREAN Y DESAROLLAN LAS SOCIEDADES COMERCIALES DE BENEFICIO E INTERES COLECTIVO - BIC,JUAN DUQUE MARQUEZ|ALVARO URIBE VELEZ|ALFREDO RAMOS MAYA|JOSE OBDULIO GAVIRIA V|PALOMA VALENCIA LASERNA|DANIEL A CABRALES|JAIME ALEJANDRO AMIN|ERNESTO MACIAS|FERNANDO ARAUJO R|ALFREDO RANGEL SUAREZ|LEON RIGOBERTO BARON|PAOLA A HOLGUIN|CARLOS FELIPE MEJIA|HONORIO ENRIQUEZ PINEDO|MARIA DEL ROSARIO GUERRA|ORLANDO CASTAÑEDA S|NOHORA TOVAR R|THANIA VEGA|EVERTH BUSTAMANTE GARCIA|SUSANA CORREA,SENADO DE LA REPUBLICA,TERCERA,ECONOMIA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/135
136/16,POR MEDIO DEL CUAL SE REFORMA EL ARTICULO 204 DE LA LEY 1448 DE 2011 PARA FORTALECER EL ACCESO A LOS DERECHOS DE VERDAD REPARACION ESTILUCION Y GARANTIAS DE NO REPETICION PARA LAS VICTIMAS EN EL EXTERIOR Y SE DICTAN OTRAS DISPOSICIONES,ANA PAOLA AGUDELO GARCIA|CARLOS GUEVARA|GUILLERMINA BRAVO|JAIME BUENA HORA|HARY GONZALEZ|GERMAN VARON COTRINO|SOFIA GAVIRIA|CLAUDIA LOPEZ,SENADO DE LA REPUBLICA,PRIMERA,JURIDICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/136
137/16,POR MEDIO DE LA CUAL SE ESTABLECEN MECANISMOS EFECTIVOS PARA EVITAR LA EXPLOTACION ILICITA DE YACIMIENTOS MINEROS Y OTROS MATERIALES Y SE DICTAN OTRAS DISPOSICIONES,JUAN DIEGO GOMEZ|J LUIS EMILIO SIERRA GRAJALES |LUIS FERNADO DUQUE GARCIA|NORA GARCIA|TERESITA GARCIA ROMERO|GERMAN BLANCO|MAURICIO GOMEZ|SANLILINA ORTIZ|ELOY CHICHI QUINTERO R|LUIS EDUARDO DIAZ GRANADO|JACK HOUSNI JALLER|SILVIO CARRASQUILLA|EDUARDO CRISSIER BARERRO,SENADO DE LA REPUBLICA,PRIMERA,AMBIENTAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/137
138/16,POR MEDIO DE LA CUAL SE EXPIDEN NORMAS EN MATERIA DE FORMALIZACION TITULACION Y RECONOCIMIENTO DE LAS EDIFICACIONES DE LOS ASENTAMIENTOS HUMANOS DE PREDIOS URBANOS Y SE DICTAN OTRAS DISPOSICIONES,MIGUEL ANGEL PINTO HERNANDEZ,CÁMARA DE REPRESENTANTES,PRIMERA,DISTRITO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/138
139/16,POR MEDIO DE LA CUAL SE APRUEBA EL ACUERDO DE PARIS ADOPTADO EL 12 DE DICIEMBRE DE 2015 EN PARIS FRANCIA,MARÍA ÁNGELA HOLGUÍN CUÉLLAR|MAURICIO CÁRDENAS SANTAMARÍA|AURELIO IRAGORRI VALENCIA|GERMÁN ARCE ZAPATA|MARÍA CLAUDIA LACOUTURE|LUIS GILBERTO MURILLO|ELSA NOGUERA|JORGE EDUARDO ROJAS GIRALDO,SENADO DE LA REPUBLICA,SEGUNDA,ACUERDO,GUBERNAMENTAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/139
140/16,POR MEDIO DEL CUAL SE MODIFICA UN INCISO DEL ARTICULO  279 DE LA LEY 100 DE 1993,JUAN MANUEL GALAN,SENADO DE LA REPUBLICA,SEPTIMA,JURIDICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/140
141/16,POR MEDIO DE LA CUAL SE ADICIONA LA LEY 1098 DE 2006 CODIGO DE INFANCIA Y LA ADOLESCENCIA Y SE DICTAN OTRAS DISPOSICIONES SOBRE EL REGISTRO CIVIL Y NACIMIENTO,LUIS FERNANDO VELAZCO CHAVEZ,SENADO DE LA REPUBLICA,PRIMERA,JURIDICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/141
142/16,POR LA CUAL SE REGLAMENTA EL EJERCICIO DE LA PROFESION DE MICROBIOLOGIA SE DICTA EL CODIGO DE ETICA Y OTRAS DISPOSICIONES,LUIS FERNANDO VELAZCO CHAVEZ,SENADO DE LA REPUBLICA,SEXTA,AMBIENTAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/142
143/16,POR MEDIO DEL CUAL SE OTORGA AL PRESUNTO PADRE BIOLOGICO LA TITULARIDAD PARA INICIAR AUTONOMAMENTE LA ACCION DE IMPUGNACION DE LA PATERNIDAD,JAIME AMIN HERNANDEZ|FERNANDO ARAUJO|IVAN DUQUE|ALFREDO RANGEL SUAREZ,SENADO DE LA REPUBLICA,PRIMERA,FAMILIA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/143
144/16,POR MEDIO DE LA CUAL SE ADICIONA UN PARAGRAFO AL ARTICULO 233 DE LA LEY 5 DE 1992,EFRAIN TORRES|ALIRIO URIBE MUÑOZ|GERMAN NAVAS T|ANGELICA LOZANO CORREA|ANGELA MARIA ROBLEDO GOMEZ|INTI ASPRILLA|CARLOS EDUARDO GUEVARA VILLABON|MARIA FERNANDA CABAL|ESPERANZA PINZON|TATIANA CABELLO FLORES|SAMUEL A HOYOS|EDWAR RODRIGUEZ R|OLGA LUCIA VELAZQUEZ|CLARA ROJAS|ANDRES FELIPE VILLAMIZAR|CARLOS A CORREA MOJICA,CÁMARA DE REPRESENTANTES,PRIMERA,JURIDICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/144
145/16,POR LA CUAL SE MODIFICA EL ARTICULO 98 DE LA LEY 23 DE 1982 SOBRE DERECHOS DE AUTOR SE ESTABLECE UNA REMUNERACION POR COMUNICACION PUBLICA A LOS AUTORES DE OBRAS CINEMATOGRAFICAS O LEY PEPE SANCHEZ,CLARA LETICIA ROJAS GONZALEZ,CÁMARA DE REPRESENTANTES,PRIMERA,JURIDICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/145
146/16,POR LA CUAL SE DICTAN NORMAS TENDIENTES A LA REORGANIZACION E INTEGRACION DEL SERVICIO PUBLICO DE TRANSPORTE TERRESTRE AUTOMOTOR COLECTIVO DE PASAJEROS O NIVEL METROPOLITANO DISTRITAL O MUNICIPAL DE PASAJEROS,JORGE HERNANDO PEDRAZA GUTIERREZ,SENADO DE LA REPUBLICA,SEXTA,TRANSPORTE,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/146
147/16,POR MEDIO DE LA CUAL SE MODIFICA PARCIALMENTE LA LEY 769 DE 2002 Y SE DICTAN OTRAS DISPOSICIONES,GUILLERMO ANTONIO SANTOS MARIN,SENADO DE LA REPUBLICA,SEXTA,JURIDICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/147
148/16,FORTALECIMIENTO DE LA POLITICA CRIMINAL Y PENINTECIARIA EN COLOMBIA POR MEDIO DEL CUAL SE MODIFICAN LA LEY 1709 DE 2014 ALGUNAS DISPOSICIONES DEL CODIGO PENAL EL CODIGO DE PROCEDIMIENTO PENAL EL CODIGO PENITENCIARIO Y CARCELARIOEL CODIGO DE LA INFANCIA Y ADOLESCENCIA LA LEY 1121 DE 2006 Y SE DICTAN OTRAS DISPOSICIONES,JORGE EDUARDO LONDOÑO ULLOA  MANUEL ENRIQUEZ ROSERO JOSE NEFTALI SANTOS Y VICTOR JAVIER CORREA,SENADO DE LA REPUBLICA,PRIMERA,JURIDICO,GUBERNAMENTAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/148
149/16,POR MEDIO  DE LA CUAL SE CATEGORIZA AL MUNICIPIO DE SANTIAGO DE CALI COMO DISTRITO ESPECIAL DEPORTIVO CULTURAL TURISTICO EMPRESARIAL Y DE SERVICIOS,EDISON DELGADO RUIZ|ROOSVELT RODRIGUEZ RENGIFO|SUSANA CORREA |JIMMY CHAMORRO|JORGE IVAN OSPINA|JAVIER MAURICIO DELGADO|ALEXANDER LOPEZ MAYA|ELBERT DIAZ LOZANO|HERIBERTO SANABRIA|CARLOS ALBERTO CUERO VALENCIA|GUILLERMINA BRAVO MONTAÑO|CARLOS ABRAHAM JIMENEZ LOPEZ|FABIO ALONSO ARROYAVE|ALVARO LOPEZ GIL|HERNAN SINISTERRA VALENCIA,SENADO DE LA REPUBLICA,PRIMERA,DISTRITO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/149
150/16,POR EL CUAL SE RECONOCE EL DERECHO FUNDAMENTAL LA ENTIDAD ETNICA DE LAS COMUNIDADES NEGRAS O POBLACION AFROCOLOMBIANA SE ADOPTAN POLITICAS PARA LA EQUIDAD E INCLUSION SOCIAL DE ESTE GRUPO ETNICO LA IGUALDAD DE OPORTUNIDADES Y SE DICTAN OTRAS DISPOSICIONES     ESTATUTARIA,EDISON DELGADO RUIZ|ELBERT DIAZ LOZANO|CARLOS ALBERTO CUERVO|GUILLERMINA BRAVO MONTAÑO|JOSE BERNARDO FLOREZ ASPRILLA|CARLOS JULIO BONILLA SOTO|MILTON CORDOBA MANYOMA,SENADO DE LA REPUBLICA,PRIMERA,AFROCOLOMBIANOS,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/150
151/16,POR LA CUAL SE DECRETA EL PRESUPUESTO DEL SISTEMA GENERAL DE REGALIA  PARA EL BIENIO DEL 1 DE ENERO DEL 2017 AL 31 DE DICIEMBRE DE 2018                       MENSAJE DE URGENCIA,MAURICIO CARDENAS SANTAMARIN|GERMAN ARCE ZAPATA,CÁMARA DE REPRESENTANTES,ECONOMICAS,JURIDICO,GUBERNAMENTAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/151
152/16,POR MEDIO DE LA CUAL SE APRUEBA EL PROTOCOLO DE ENMIENDA DEL ACUERDO DE MARRAKECH POR EL CUAL SE ESTABLECE LA ORGANIZACION MUNDIAL DEL COMERCIO ADOPTADO POR EL CONCEJO GENERAL DE LA ORGANIZACION MUNDIAL DE COMERCIO EN GINEBRA SUIZA EL 27 DE NOVIEMBRE DE 2014,MARIA ANGELA HOLGUIN|MARIA CLAUDIA LACOUTURE,SENADO DE LA REPUBLICA,SEGUNDA,ACUERDO,GUBERNAMENTAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/152
153/16,POR MEDIO DE LA CUAL SE APRUEBA EL ACUERDO ENTRE LA UNION EUROPEA Y LA REPUBLICA DE COLOMBIA POR EL QUE SE CREA UN MARCO PARA LA PARTICIPACION DE LA REPUBLICA DE COLOMBIA EN LAS OPERACIONES DE GESTION DE CRISIS DE LA UNION EUROPEA SUSCRITO EN LA CIUDAD DE BOGOTA DC EL 5 DE AGOSTO DE 2014,MARIA ANGELA HOLGUIN|LUIS CARLOS VILLEGAS ECHEVERRY,SENADO DE LA REPUBLICA,SEGUNDA,ACUERDO,GUBERNAMENTAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/153
154/16,POR MEDIO DE LA CUAL SE APRUEBA EL CONVENIO MULTILATERAL IBEROAMERICANO DE SEGURIDAD SOCIAL (SMSS) HECHO EN SANTIAGO DE CHILE EL 10 DE DICIEMBRE DE 2014,MARIA ANGELA HOLGUIN|CLARA LOPEZ|MAURICIO CARDENAS SANTAMARIA,SENADO DE LA REPUBLICA,SEGUNDA,JURIDICO,GUBERNAMENTAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/154
155/16,POR MEDIO DE LA CUAL SE PROHIBE EL COBRO POR RETIROS EN CAJEROS ELECTRONICOS DEL SISTEMA BANCARIO COLOMBIANO DE CUENTAS CON MOVIMIENTOS INFERIORES A TRES SALARIOS MINIMOS LEGALES URGENTES,MARÍA FERNANDA CABAL MOLINA|TATIANA CABELLO FLORÉZ|WILSON CORDOBA MENA|CARLOS ALBERTO CUERO VALENCIA|PIERRE EUGENIO GARCÍA JACQUIER|HUGO HERNÁN GONZÁLEZ MEDINA|SAMUEL ALEJANDRO HOYOS MEJÍA|FEDERICO EDUARDO HOYOS SALAZAR|RUBÉN DARÍO MOLANO PIÑEROS|OSCAR DARÍO PÉREZ PINEDA|ESPERANZA MARÍA PINZÓN DE|ÁLVARO HERNÁN PRADA ARTUNDUAGA|CIRO ALEJANDRO RAMIREZ|MARGARITA MARÍA RESTREPO ARANGO|FERNANDO SIERRA RAMOS|ALBEIRO VANEGAS OSORIO|MARÍA REGINA ZULUAGA HENAO| PAOLA ANDREA HOLGUÍN MORENO| ALFREDO RAMOS MAYA| ALFREDO RANGEL SUAREZ| ALVARO URIBE VELEZ| CARLOS FELIPE MEJIA| DANIEL ALBERTO CABRALES CASTILLO| EVERTH BUSTAMANTE GARCÍA| FERNANDO NICOLAS ARAÚJO RUMIÉ| HONORIO MIGUEL HENRIQUEZ PINEDO| IVAN DUQUE MARQUEZ| JOSÉ OBDULIO GAVIRIA VÉLEZ| NOHORA STELLA TOVAR REY| PALOMA SUSANA VALENCIA LASERNA| SUSANA CORREA BORRERO| THANIA VEGA DE PLAZAS,CÁMARA DE REPRESENTANTES,TERCERA,MEDIOS DE PAGO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/155
156/16,POR MEDIO DE LA CUAL SE PROMUEVE LA MOVILIDAD SOSTENIBLE ATRAVEZ DE INCENTIVOS Y BENEFICIOS PARA PROPIETARIOS Y CONDUCTORES DE VEHICULOS DE PROPULSION ALTERNATIVO Y SE DICTAN OTRAS DISPOSICIONES,IVÁN DARIO AGUDELO ZAPATA|FREDY ANTONIO ANAYA MARTINEZ|MIGUEL ANGÉL BARRETO CASTILLO|JULIÁN BEDOYA PULGARIN|TATIANA CABELLO FLORÉZ|GERMÁN BERNARDO CARLOSAMA LOPEZ|ORLANDO ALFONSO CLAVIJO CLAVIJO|NILTON CORDOBA MANYOMA|VICTOR JAVIER CORREA VÉLEZ|ALFREDO RAFAEL DELUQUE ZULETA|MARCOS YOHAN DÍAZ BARRERA|ANTENOR DURAN CARRILLO|NICOLAS ALBEIRO ECHEVERRY ALVARAN|CIRO FERNANDEZ NUÑEZ|LUIS HORACIO GALLON ARANGO|JUAN CARLOS GARCÍA GÓMEZ|PIERRE EUGENIO GARCÍA JACQUIER|MAURICIO GÓMEZ AMÍN|HARRY GIOVANNY GONZÁLEZ GARCÍA|SAMUEL ALEJANDRO HOYOS MEJÍA|FEDERICO EDUARDO HOYOS SALAZAR|OSCAR DE HURTADO PÉREZ|CARLOS ABRAHAM JIMENEZ LOPEZ|JHON EDUARDO MOLINA FIGUEREDO|MOISES OROZCO VICUÑA|ANA CRISTINA PAZ|OSCAR DARÍO PÉREZ PINEDA|ESPERANZA MARÍA PINZÓN DE|JUAN CARLOS RIVERA PEÑA|ÁNGELA MARÍA ROBLEDO GÓMEZ|EDWARD DAVID RODRÍGUEZ RODRÍGUEZ|ALBEIRO VANEGAS OSORIO|BERNER LEÓN ZAMBRANO ERAZO|MARÍA REGINA ZULUAGA HENAO,CÁMARA DE REPRESENTANTES,SEXTA,TRANSPORTE,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/156
157/16,POR MEDIO DEL CUAL SE ORDENA LA TITULACION DE LA TIERRA ADQUIRIDA DE BUENA FE SE ESTIMULA LA FORMALIZACION Y PROTECCION DE DERECHOS ADQUIRIDOS.,NOHORA TOVAR REY,SENADO DE LA REPUBLICA,QUINTA,DISTRITO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/157
158/16,POR MEDIO DE LA CUAL SE APRUEBA EL CONVENIO DE MINAMATA SOBRE EL MERCURIO HECHO EN KUMAMOTO JAPON EL 10 DE OCTUBRE DE 2013.,MARIA ANGELA HOLGUIN|MARIA CLAUDIA LACOUTURE|LUIS GILBERTO MURILLO URRUTIA|ALEJANDRO GAVIRIA URIBE|GERMAN ARCE ZAPATA,SENADO DE LA REPUBLICA,SEGUNDA,ACUERDO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/158
159/16,POR MEDIO DE LA CUAL SE PROHIBE EL USO DE LA FOTO DETECCION Y SE DICTAN OTRAS DISPOSICIONES.,MARIO ALBERTO FERNANDEZ ALCOCER,SENADO DE LA REPUBLICA,SEXTA,TRANSPORTE,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/159
