codigo,titulo,autor,origen,comision,tema,iniciativa,link
226/17,POR MEDIO DEL CUAL SE DICTAN NORMAS PARA EL EJERCICIO DE LA PROFESIÓN DE ADMINISTRACIÓN SE EXPIDE EL CÓDIGO DE ÉTICA Y SE DEROGA LA LEY 60 DE 1981,ROSMERY MARTÍNEZ ROSALES|HERNAN GUSTAVO ESTUPIÑAN CALVACHE,SENADO DE LA REPUBLICA,PRIMERA,JURIDICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/232
227/17,"POR MEDIO DEL CUAL SE REGULA LA ACTIVIDAD DEL AGROTURISMO EN COLOMBIA ""LEY DE DESARROLLO DEL AGROTURISMO""",NORA GARCIA BURGOS,SENADO DE LA REPUBLICA,SEXTA,AGROPECUARIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/233
228/17,POR MEDIO DE LA CUAL SE REGLAMENTAN LAS FIESTAS EN CORRALEJAS Y SE DICTAN OTRAS DISPOSICIONES.,MARIA DEL ROSARIO GUERRA DE LA ESPRIELLA,SENADO DE LA REPUBLICA,QUINTA,HONORES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/234
229/17,POR MEDIO DEL CUAL SE MODIFICAN LOS ARTÍCULOS 397 Y 415 DE LA LEY 599 DE 2000 (CÓDIGO PENAL) Y LOS ARTÍCULOS 202 Y 205 DE LA LEY 906 DE 2004 (CÓDIGO DE PROCEDIMIENTO PENAL),EVERTH BUSTAMANTE GARCIA,SENADO DE LA REPUBLICA,SEPTIMA,PENAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/235
230/17,POR  LA CUAL SE ESTABLECE EL REGISTRO NACIONAL DE USUARIOS DE PUBLICIDAD NO DESEADA,ANTONIO GUERRA DE LA ESPRIELLA,SENADO DE LA REPUBLICA,SEXTA,SERVICIOS PUBLICOS,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/236
231/17,POR LA CUAL SE ESTABLECEN REGLAS EN MATERIA DE SOCIEDADES Y SE ADOPTAN OTRAS DISPOSICIONES.,OSCAR MAURICIO LIZCANO|JIMMY CHAMORRO CRUZ|ROOSVETH RENGIFO RODRIGUEZ|JUAN FELIPE LEMOS URIBE,SENADO DE LA REPUBLICA,TERCERA,ELECTORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/237
232/17,POR MEDIO DEL CUAL SE DECLARA EL JUEGO AL TURMEQUÉ (TEJO) COMO PATRIMONIO CULTURAL INMATERIAL DE LA NACIÓN Y SE DICTAN OTRAS DISPOSICIONES.,ANTONIO NAVARRO WOLFF,SENADO DE LA REPUBLICA,SEGUNDA,HONORES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/238
233/17,POR MEDIO DE LA CUAL SE AUTORIZA A LAS ASAMBLEAS DEPARTAMENTALES Y LOS CONCEJOS DISTRITALES PARA LA EMISIÓN DE LA ESTAMPILLA PRO –ELECTRIFICACIÓN RURAL Y OTRAS CONTEMPLADAS EN LA LEY 1059 DEL 2006 QUE MODIFICA LA LEY 23 DE 1986,FREDY ANTONIO ANAYA MARTINEZ|LINA MARÍA BARRERA RUEDA|JULIÁN BEDOYA PULGARIN|EDUAR LUIS BENJUMEA MORENO|NILTON CORDOBA MANYOMA|ALFREDO RAFAEL DELUQUE ZULETA|CIRO FERNANDEZ NUÑEZ|ALEXANDER GARCIA RODRIGUEZ|EDGAR ALFONSO GÓMEZ ROMÁN|HARRY GIOVANNY GONZÁLEZ GARCÍA|ORLANDO ANIBAL GUERRA DE|OSCAR DE HURTADO PÉREZ|MIGUEL ÁNGEL PINTO HERNÁNDEZ|MARÍA EUGENIA TRIANA VARGAS,CÁMARA DE REPRESENTANTES,TERCERA,ADMINISTRATIVO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/239
234/17,POR MEDIO DE LA CUAL SE ESTABLECEN ASPECTOS LABORALES Y OPERATIVOS A LA MODALIDAD DE HOGARES SUSTITUTOS Y TUTORES DEL INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR Y SE DICTAN OTRAS DISPOSICIONES.,ÁNGEL CUSTODIO CABRERA BÁEZ|SANVILLADIEGO,SENADO DE LA REPUBLICA,SEPTIMA,LABORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/240
235/17,POR EL CUAL SE HACE EL RECONOCIMIENTO A LA CULTURA TRADICIÓN E IDENTIDAD LLANERA Y SE INSTA A LAS AUTORIDADES LOCALES ADMINISTRATIVAS A DESARROLLAR UN PLAN ESPECIAL DE SALVAGUARDA AL PATRIMONIO CULTURAL LLANERO,NOHORA TOVAR REY,SENADO DE LA REPUBLICA,SEXTA,HONORES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/241
